peerPosAR,peerPosNI,MyPos,Time
0.38326234+0.22817367+-0.32419026,0.35730648+0.06662586+-0.7283068,-0.50250244+0.02993414+0.34178004,0.8139642,0
0.38322535+0.22832787+-0.32417792,0.35734665+0.06693933+-0.7283601,-0.502703+0.030026536+0.34179854,0.81405526,1
0.38318372+0.22851825+-0.32426637,0.3575508+0.06736055+-0.72839445,-0.5029668+0.03001703+0.34193277,0.81421036,2
0.38328823+0.22878832+-0.32432234,0.35764185+0.0678556+-0.72851413,-0.50306976+0.029991187+0.34207857,0.8143985,3
0.38342956+0.22888091+-0.32439035,0.35764185+0.0678556+-0.72851413,-0.5028874+0.03000277+0.34215033,0.8143985,4
0.38349283+0.2286919+-0.32445672,0.35661215+0.06800084+-0.7285727,-0.5026684+0.030017963+0.3421635,0.8140114,5
0.3835067+0.22847214+-0.32448572,0.35400155+0.0658982+-0.72786474,-0.502503+0.03007287+0.342007,0.8120633,6
0.38337296+0.22829717+-0.3244336,0.3504904+0.062814355+-0.7268556,-0.5025517+0.030099023+0.34185284,0.8093875,7
0.38322788+0.22834343+-0.32437342,0.34749115+0.060086396+-0.7259411,-0.5026899+0.030139703+0.34167695,0.80706316,8
0.38305962+0.22847947+-0.32430688,0.3454902+0.058242146+-0.72525436,-0.5029016+0.030154174+0.34161615,0.80544984,9
0.38299713+0.2286878+-0.32429278,0.3454902+0.058242146+-0.72525436,-0.5030832+0.030138126+0.34172854,0.80544984,10
0.3831022+0.22886196+-0.32435888,0.3442667+0.05734112+-0.72486275,-0.5030728+0.030135326+0.34191245,0.80450827,11
0.38325793+0.22888234+-0.32438898,0.34338963+0.0571733+-0.7247556,-0.502915+0.03014204+0.34207797,0.8040248,12
0.38338673+0.22874501+-0.32445633,0.34252757+0.05735308+-0.72485924,-0.5027235+0.030144174+0.34215778,0.8037633,13
0.3834457+0.22856626+-0.32448938,0.34237823+0.057868842+-0.72512454,-0.50253993+0.03014796+0.342084,0.8039759,14
0.38338977+0.22838002+-0.32445008,0.34403482+0.05901456+-0.72546804,-0.50236726+0.030182868+0.34182906,0.8050755,15
0.3831743+0.22819874+-0.3243257,0.34678787+0.06048327+-0.7257405,-0.5022505+0.030220646+0.34151876,0.80660975,16
0.38289455+0.22807562+-0.32420146,0.34678787+0.06048327+-0.7257405,-0.5022469+0.030246358+0.34126258,0.80660975,17
0.38265413+0.2280765+-0.32408777,0.3492933+0.061723765+-0.7258548,-0.5023118+0.030246263+0.34117457,0.80788666,18
0.382572+0.22813731+-0.32405746,0.35112816+0.06259932+-0.72582644,-0.5024492+0.030193299+0.34130615,0.80872345,19
0.38271114+0.22827545+-0.32409403,0.35231555+0.063196555+-0.72572446,-0.50256044+0.030169094+0.34151682,0.8091947,20
0.3829007+0.22838548+-0.32420376,0.35293895+0.06356733+-0.72566324,-0.50265616+0.030141555+0.34175694,0.80944043,21
0.38311833+0.22847846+-0.32433197,0.3530444+0.063715816+-0.72573346,-0.50270104+0.030128146+0.34188542,0.8095611,22
0.38321716+0.2285468+-0.32439798,0.35273102+0.06356055+-0.7258332,-0.50266284+0.030134829+0.34184542,0.80950165,23
0.38317987+0.22851855+-0.3243782,0.35215706+0.06303409+-0.7257811,-0.5025737+0.030192884+0.34160674,0.8091638,24
0.38294864+0.22842997+-0.32428473,0.35148537+0.062365323+-0.72560465,-0.50251323+0.030222215+0.3413427,0.8086616,25
0.38273382+0.22835386+-0.3241587,0.35087544+0.06183819+-0.72540724,-0.502484+0.030245027+0.34112653,0.8081789,26
0.38255006+0.22831622+-0.3240534,0.3504939+0.061570186+-0.7251974,-0.50248474+0.030265823+0.34102368,0.80780447,27
0.38245514+0.2283176+-0.32399827,0.35041144+0.06157904+-0.7249862,-0.5025427+0.03026756+0.34108853,0.8075798,28
0.38251215+0.22836992+-0.32403564,0.35041144+0.06157904+-0.7249862,-0.5026501+0.03025373+0.34127647,0.8075798,29
