TimeStamp,Distance,ARx,ARy,ARz,NIx,NIy,NIz,Camx,Camy,Camz,AmbientLightIntensity,LightColorEstimate,FeaturePointNumber
168975.012630458,0.99930364,0.0064073754,1.7641017,-0.025672613,0.28910872,0.78358805,-0.54864717,-4.6639276e-08,-6.7630475e-09,1.5821387e-08,968.9416885375977,5946.59716796875,3
168975.029302541,0.99930364,0.0064073754,1.7641017,-0.025672613,0.28910872,0.78358805,-0.54864717,-1.1216839e-08,-2.0950692e-09,1.0645761e-08,969.7601795196533,5946.59716796875,3
168975.045974541,0.99930364,0.0077234455,1.7642602,-0.026571538,0.28910872,0.78358805,-0.54864717,1.8594783e-08,-2.174401e-09,-4.162958e-09,970.4149961471558,5946.59716796875,3
168975.0626465,0.99930364,0.0077234455,1.7642602,-0.026571538,0.28910872,0.78358805,-0.54864717,-3.540846e-08,2.6317946e-09,5.366371e-09,970.9388613700867,5946.59716796875,3
168975.079318416,0.99930364,0.0077234455,1.7642602,-0.026571538,0.28910872,0.78358805,-0.54864717,1.29595605e-08,5.339418e-10,-1.3838623e-08,971.3579416275024,5946.59716796875,3
168975.095990375,0.99930364,0.0077234455,1.7642602,-0.026571538,0.28910872,0.78358805,-0.54864717,-5.6185954e-09,2.6910114e-09,5.290259e-09,971.693217754364,5946.59716796875,3
168975.112662375,0.99930364,0.0077234455,1.7642602,-0.026571538,0.28910872,0.78358805,-0.54864717,-3.541742e-08,-4.7658775e-09,5.308594e-09,972.1760153770447,5946.59716796875,3
168975.129334375,0.99930364,0.0077234455,1.7642602,-0.026571538,0.28910872,0.78358805,-0.54864717,-3.540865e-08,2.6522367e-09,5.3514624e-09,972.3476767539978,5946.59716796875,3
168975.146006291,0.99930364,0.0077234455,1.7642602,-0.026571538,0.28910872,0.78358805,-0.54864717,1.8596445e-08,-2.200169e-09,-4.1522625e-09,972.4850058555603,5946.59716796875,3
168975.16267825,0.99930364,0.0077234455,1.7642602,-0.026571538,0.28910872,0.78358805,-0.54864717,2.4195423e-08,-4.818343e-09,5.3511084e-09,972.5948572158813,5946.59716796875,3
168975.179350166,0.99930364,0.00876229,1.7646961,-0.027447753,0.28910872,0.78358805,-0.54864717,-1.6836326e-08,-6.911181e-09,1.0290534e-09,971.6359376907349,5946.59716796875,3
168975.196022208,0.99930364,0.007343246,1.7645388,-0.026808292,0.28910872,0.78358805,-0.54864717,2.9802319e-08,7.4505797e-09,-1.4901159e-08,971.915602684021,5946.59716796875,3
168975.212694083,0.99930364,0.0064773504,1.7644504,-0.026592338,0.28910872,0.78358805,-0.54864717,-3.5407496e-08,-4.7767488e-09,5.3286042e-09,972.1393585205078,5946.59716796875,3
168975.22936625,0.99930364,0.0069869403,1.7644243,-0.027027646,0.28910872,0.78358805,-0.54864717,-3.5401744e-08,-4.807287e-09,5.3656213e-09,971.2715744972229,5946.59716796875,3
168975.246038083,0.99930364,0.008315201,1.7645819,-0.0276733,0.28910872,0.78358805,-0.54864717,2.9802322e-08,0.0,0.0,971.2715744972229,5946.59716796875,3
168975.262710166,0.99930364,0.008872385,1.7646693,-0.027855929,0.28910872,0.78358805,-0.54864717,-5.604495e-09,1.0096859e-08,-9.563492e-09,970.0219631195068,5946.59716796875,3
168975.279381916,0.99930364,0.008085549,1.76458,-0.02748935,0.28910872,0.78358805,-0.54864717,2.4195469e-08,2.6748948e-09,5.3100586e-09,970.0219631195068,5946.59716796875,3
168975.296054,0.99930364,0.0068256212,1.7644209,-0.027036218,0.28910872,0.78358805,-0.54864717,-5.602937e-09,-4.768305e-09,5.318708e-09,970.268964767456,5946.59716796875,3
168975.312725958,0.99930364,0.006450612,1.7643815,-0.027117286,0.28910872,0.78358805,-0.54864717,-1.1201394e-08,1.2785237e-08,1.06901865e-08,970.8220362663269,5946.59716796875,3
168975.329398,0.99930364,0.00725537,1.7644746,-0.027201736,0.28910872,0.78358805,-0.54864717,-4.1001314e-08,-9.6155865e-09,-4.171323e-09,970.2177047729492,5946.59716796875,3
168975.346069958,0.99930364,0.008320266,1.7646303,-0.02741448,0.28910872,0.78358805,-0.54864717,1.8596097e-08,-2.1700561e-09,1.0702173e-08,970.2177047729492,5946.59716796875,3
168975.362741875,0.99930364,0.008405322,1.7646538,-0.027235383,0.28910872,0.78358805,-0.54864717,-1.1215533e-08,-2.1255557e-09,-4.262894e-09,969.734251499176,5946.59716796875,3
