peerPosAR,peerPosNI,MyPos,Distance,Frame,Time
0.13399357+-0.17547694+-0.59904504,0.1237752+-0.13371238+-0.5757827,0.18886568+0.0026393207+0.09444501,0.6039247,0,1706.248092208
0.13396874+-0.17551942+-0.59903526,0.12666541+-0.13414489+-0.57692677,0.18890509+0.002602064+0.09431889,0.6057091,1,1706.314778333
0.13367228+-0.1754047+-0.59895444,0.12782103+-0.13437201+-0.577453,0.18887644+0.0025700713+0.094443135,0.6065031,2,1706.34812325
0.13394766+-0.1755815+-0.59893864,0.1278723+-0.13455078+-0.5774302,0.18882848+0.00253613+0.09447162,0.6065318,3,1706.381464916
0.13397661+-0.17561339+-0.5989263,0.12843627+-0.13492903+-0.5773589,0.18886426+0.0025014142+0.09431087,0.6066671,4,1706.414808083
0.13360073+-0.17547627+-0.59888357,0.13307631+-0.13712439+-0.5772649,0.18891066+0.002461462+0.09430249,0.6080684,5,1706.448160125
0.13360414+-0.17548104+-0.59887105,0.13726892+-0.13906382+-0.57719684,0.18885322+0.0024457434+0.09432319,0.6093748,6,1706.514838208
0.13369495+-0.17553313+-0.59883565,0.1384746+-0.13966525+-0.57713574,0.18893181+0.0024477008+0.094222076,0.6097272,7,1706.548181125
0.13351725+-0.17544255+-0.59882677,0.1397868+-0.14046448+-0.5769752,0.18895483+0.00242021+0.09426792,0.61005825,8,1706.581524958
0.13366571+-0.17547797+-0.5988264,0.13627297+-0.14167161+-0.57455677,0.18890424+0.002400647+0.09430769,0.6072534,9,1706.614868166
0.13375518+-0.1755562+-0.5987998,0.13457346+-0.1421323+-0.5734961,0.1889252+0.0023712823+0.09422465,0.6059781,10,1706.648223833
0.13360487+-0.17547177+-0.59876627,0.13296954+-0.14304763+-0.57216024,0.18900828+0.002337901+0.09419973,0.6045749,11,1706.681556
0.13353677+-0.17543983+-0.5987724,0.13288298+-0.14390339+-0.5715603,0.18894464+0.0024066465+0.09433191,0.6041914,12,1706.71489825
0.13378626+-0.17546582+-0.59883016,0.13283491+-0.14378698+-0.57101405,0.18885711+0.0024186994+0.09434516,0.6036364,13,1706.74824225
0.13375065+-0.1754551+-0.59883356,0.13174134+-0.14073111+-0.5679675,0.18891071+0.0024044213+0.09430164,0.59979004,14,1706.781591416
0.13367474+-0.17539838+-0.5988318,0.13071284+-0.13811919+-0.5651707,0.18898857+0.0024596695+0.0943429,0.5963059,15,1706.814928416
0.13376889+-0.17546155+-0.5988682,0.13043231+-0.13755903+-0.5643086,0.18892923+0.0024670034+0.09436978,0.59529763,16,1706.8482725
0.13382322+-0.17551474+-0.5988588,0.13015276+-0.1372864+-0.56323934,0.1889184+0.0024504615+0.09434706,0.5941598,17,1706.881624125
