peerPosAR,peerPosNI,MyPos,Time
0.32789233+-0.14792317+-0.4835038,0.27078262+0.02378551+-0.67187434,0.0012872061+0.17616467+0.08400306,0
0.32790795+-0.14787437+-0.48349124,0.27008116+0.020774046+-0.6720091,0.0012811152+0.17616808+0.084034756,1
0.3278835+-0.1478156+-0.4834978,0.26950973+0.01887069+-0.6718966,0.0013280949+0.17617406+0.08400444,2
0.3278835+-0.1478156+-0.4834978,0.26950973+0.01887069+-0.6718966,0.0014242781+0.1761915+0.08385275,3
0.32788882+-0.14794463+-0.48367614,0.26899323+0.017763782+-0.6715833,0.0015812732+0.17623909+0.08385442,4
0.32792944+-0.1480891+-0.4836565,0.26859802+0.017097015+-0.67108333,0.0017150344+0.1762742+0.08375178,5
0.3279604+-0.1482218+-0.48374537,0.26700464+0.022030726+-0.6748094,0.0018336867+0.17628823+0.083720736,6
0.32797143+-0.14834309+-0.48376006,0.26546428+0.027207207+-0.67867297,0.0018986826+0.17630252+0.083747774,7
0.32798606+-0.14840469+-0.48372018,0.2640796+0.031685196+-0.68204033,0.001902761+0.17632714+0.08377055,8
0.32801017+-0.14840764+-0.48368472,0.2640796+0.031685196+-0.68204033,0.0018584346+0.17634788+0.08374613,9
0.3280306+-0.14837143+-0.48370254,0.26292294+0.03472938+-0.6843774,0.0017584274+0.17617054+0.08388731,10
0.32785618+-0.14827266+-0.48354936,0.2619716+0.036442976+-0.68573684,0.0016546333+0.17612386+0.08381,11
0.32781124+-0.14818108+-0.48362955,0.26120207+0.037263315+-0.6863892,0.0016087525+0.17610791+0.083695516,12
0.3277908+-0.14814256+-0.48372993,0.2605491+0.037626144+-0.6866409,0.0016400153+0.17608805+0.083623566,13
0.3277687+-0.14818123+-0.4837885,0.2599511+0.037800167+-0.68673044,0.0017228024+0.17607433+0.08356819,14
0.32775158+-0.14827013+-0.48382375,0.26069275+0.037795734+-0.6870234,0.0018006256+0.1760718+0.08350525,15
0.32775068+-0.1483524+-0.48387575,0.26253214+0.037880585+-0.68801,0.0018485897+0.17587477+0.08366875,16
0.32755718+-0.14840096+-0.48369148,0.26532623+0.03797628+-0.6893657,0.0018054639+0.17579459+0.08376103,17
0.3274806+-0.14835902+-0.4835864,0.2677279+0.038177565+-0.69064474,0.0017551881+0.1757473+0.08382534,18
0.3274368+-0.14829949+-0.48359212,0.2692599+0.038478076+-0.69168496,0.0017661509+0.1757155+0.083808005,19
0.32740873+-0.14828418+-0.4838068,0.2700292+0.038805995+-0.692449,0.0017848024+0.17570384+0.083716035,20
0.32739747+-0.14829063+-0.48395556,0.2700292+0.038805995+-0.692449,0.0017559958+0.17568828+0.08364232,21
0.32738304+-0.14825837+-0.48404852,0.27029142+0.03912873+-0.69299716,0.0017908616+0.17564443+0.083726995,22
